Resume,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Experienced Backend Developer, Product Manager, DevOps Engineer, Data Scientist professional with expertise in Java, Python, Machine Learning, AWS and hands-on experience with Jira, Tableau. Holding Master's in Information Systems, Bachelor's in Computer Science with Mid-Senior level, 7+ years, Entry level, 3-5 years of work experience. Previously worked at Microsoft, Facebook, Amazon located in Boston, MA, Chicago, IL, New York, NY. Fluent in German, French, English, Spanish with strong Communication Skills, Problem-Solving, Leadership. Certified in PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $100k–$130k, $90k–$120k, $120k–$150k.","Java, Python, Machine Learning, AWS","Microsoft, Facebook, Amazon","Jira, Tableau","Master's in Information Systems, Bachelor's in Computer Science","Mid-Senior level, 7+ years, Entry level, 3-5 years","Backend Developer, Product Manager, DevOps Engineer, Data Scientist","Boston, MA, Chicago, IL, New York, NY","German, French, English, Spanish","Communication Skills, Problem-Solving, Leadership","$100k–$130k, $90k–$120k, $120k–$150k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Data Scientist, Software Engineer, Product Manager professional with expertise in SQL, Java, Kubernetes and hands-on experience with Jira, Salesforce, Figma, Slack. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with 5+ years, 2+ years, Entry level, Mid-Senior level of work experience. Previously worked at Microsoft, Tesla, Netflix located in New York, NY, Boston, MA. Fluent in French, English with strong Problem-Solving, Teamwork, Adaptability, Leadership. Certified in AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $90k–$120k, $120k–$150k.","SQL, Java, Kubernetes","Microsoft, Tesla, Netflix","Jira, Salesforce, Figma, Slack","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, 2+ years, Entry level, Mid-Senior level","Data Scientist, Software Engineer, Product Manager","New York, NY, Boston, MA","French, English","Problem-Solving, Teamwork, Adaptability, Leadership","$100k–$130k, $80k–$100k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional"
"Experienced DevOps Engineer, Backend Developer professional with expertise in Docker, Kubernetes, TensorFlow, SQL and hands-on experience with Slack, VS Code, GitHub, Figma. Holding Ph.D. in Data Science, Bachelor's in Computer Science with 5+ years, 2+ years, 3-5 years of work experience. Previously worked at Google, Netflix located in Austin, TX, Chicago, IL, New York, NY, Seattle, WA. Fluent in French, Spanish, German with strong Problem-Solving, Communication Skills, Teamwork. Certified in Certified Scrum Master, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k.","Docker, Kubernetes, TensorFlow, SQL","Google, Netflix","Slack, VS Code, GitHub, Figma","Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, 2+ years, 3-5 years","DevOps Engineer, Backend Developer","Austin, TX, Chicago, IL, New York, NY, Seattle, WA","French, Spanish, German","Problem-Solving, Communication Skills, Teamwork","$120k–$150k, $90k–$120k, $100k–$130k","Certified Scrum Master, AWS Certified Solutions Architect"
"Experienced Backend Developer, Data Scientist, Product Manager professional with expertise in Docker, Kubernetes and hands-on experience with Figma, GitHub, Tableau, Jira. Holding Master's in Information Systems, Ph.D. in Data Science with Entry level, 3-5 years, 7+ years, 5+ years of work experience. Previously worked at Amazon, Google located in New York, NY, San Francisco, CA. Fluent in German, French, English with strong Adaptability, Teamwork, Problem-Solving, Communication Skills. Certified in Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k.","Docker, Kubernetes","Amazon, Google","Figma, GitHub, Tableau, Jira","Master's in Information Systems, Ph.D. in Data Science","Entry level, 3-5 years, 7+ years, 5+ years","Backend Developer, Data Scientist, Product Manager","New York, NY, San Francisco, CA","German, French, English","Adaptability, Teamwork, Problem-Solving, Communication Skills","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional"
"Experienced Backend Developer, Product Manager, DevOps Engineer, Data Scientist professional with expertise in SQL, Docker, TensorFlow, Machine Learning and hands-on experience with Salesforce, Figma, GitHub, Jira. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with Entry level, 5+ years, 7+ years of work experience. Previously worked at Apple, Facebook, Amazon, Microsoft located in Boston, MA, Austin, TX, Seattle, WA, San Francisco, CA. Fluent in Spanish, English, German, French with strong Leadership, Teamwork, Adaptability. Certified in AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k.","SQL, Docker, TensorFlow, Machine Learning","Apple, Facebook, Amazon, Microsoft","Salesforce, Figma, GitHub, Jira","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Entry level, 5+ years, 7+ years","Backend Developer, Product Manager, DevOps Engineer, Data Scientist","Boston, MA, Austin, TX, Seattle, WA, San Francisco, CA","Spanish, English, German, French","Leadership, Teamwork, Adaptability","$90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Experienced Product Manager, Backend Developer, Data Scientist, DevOps Engineer professional with expertise in Java, Docker, Python and hands-on experience with Jira, Salesforce, VS Code. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 5+ years, Entry level of work experience. Previously worked at Microsoft, IBM located in Seattle, WA, New York, NY. Fluent in German, Spanish, French with strong Problem-Solving, Communication Skills, Leadership. Certified in AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $100k–$130k.","Java, Docker, Python","Microsoft, IBM","Jira, Salesforce, VS Code","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","5+ years, Entry level","Product Manager, Backend Developer, Data Scientist, DevOps Engineer","Seattle, WA, New York, NY","German, Spanish, French","Problem-Solving, Communication Skills, Leadership","$80k–$100k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced DevOps Engineer, Backend Developer, Product Manager professional with expertise in Kubernetes, Docker, Python, Machine Learning and hands-on experience with Slack, GitHub, Salesforce, Figma. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with Mid-Senior level, Entry level of work experience. Previously worked at Amazon, IBM, Apple located in Chicago, IL, Seattle, WA. Fluent in French, English, Spanish with strong Leadership, Adaptability. Certified in PMP Certification, Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k.","Kubernetes, Docker, Python, Machine Learning","Amazon, IBM, Apple","Slack, GitHub, Salesforce, Figma","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, Entry level","DevOps Engineer, Backend Developer, Product Manager","Chicago, IL, Seattle, WA","French, English, Spanish","Leadership, Adaptability","$90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k","PMP Certification, Google Cloud Professional, Certified Scrum Master"
"Experienced Data Scientist, Software Engineer, DevOps Engineer professional with expertise in Machine Learning, Python and hands-on experience with Slack, Jira, Tableau. Holding Master's in Information Systems, Ph.D. in Data Science with 3-5 years, Entry level, 5+ years, 2+ years of work experience. Previously worked at Facebook, Google located in New York, NY, San Francisco, CA. Fluent in German, French, English, Spanish with strong Leadership, Communication Skills, Problem-Solving. Certified in PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k.","Machine Learning, Python","Facebook, Google","Slack, Jira, Tableau","Master's in Information Systems, Ph.D. in Data Science","3-5 years, Entry level, 5+ years, 2+ years","Data Scientist, Software Engineer, DevOps Engineer","New York, NY, San Francisco, CA","German, French, English, Spanish","Leadership, Communication Skills, Problem-Solving","$90k–$120k, $80k–$100k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Experienced Data Scientist, DevOps Engineer, Product Manager professional with expertise in TensorFlow, Java, Kubernetes, Docker and hands-on experience with Jira, Slack, Figma. Holding Master's in Information Systems, Ph.D. in Data Science with 7+ years, 2+ years, 5+ years of work experience. Previously worked at Google, Apple, Amazon, Tesla located in Seattle, WA, New York, NY. Fluent in German, English, Spanish with strong Teamwork, Problem-Solving, Communication Skills. Certified in AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k, $100k–$130k, $120k–$150k.","TensorFlow, Java, Kubernetes, Docker","Google, Apple, Amazon, Tesla","Jira, Slack, Figma","Master's in Information Systems, Ph.D. in Data Science","7+ years, 2+ years, 5+ years","Data Scientist, DevOps Engineer, Product Manager","Seattle, WA, New York, NY","German, English, Spanish","Teamwork, Problem-Solving, Communication Skills","$90k–$120k, $80k–$100k, $100k–$130k, $120k–$150k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional"
"Experienced Software Engineer, DevOps Engineer, Product Manager professional with expertise in SQL, Docker, Machine Learning, Java and hands-on experience with Salesforce, Slack, Tableau. Holding Master's in Information Systems, Ph.D. in Data Science with 5+ years, 3-5 years of work experience. Previously worked at IBM, Facebook, Apple located in Seattle, WA, Boston, MA, New York, NY, San Francisco, CA. Fluent in Spanish, English, German with strong Problem-Solving, Leadership. Certified in PMP Certification, Google Cloud Professional. Seeking new opportunities with an expected salary around $100k–$130k, $120k–$150k.","SQL, Docker, Machine Learning, Java","IBM, Facebook, Apple","Salesforce, Slack, Tableau","Master's in Information Systems, Ph.D. in Data Science","5+ years, 3-5 years","Software Engineer, DevOps Engineer, Product Manager","Seattle, WA, Boston, MA, New York, NY, San Francisco, CA","Spanish, English, German","Problem-Solving, Leadership","$100k–$130k, $120k–$150k","PMP Certification, Google Cloud Professional"
"Experienced DevOps Engineer, Product Manager professional with expertise in TensorFlow, Python, Kubernetes and hands-on experience with Figma, Slack, Jira, GitHub. Holding Master's in Information Systems, Bachelor's in Computer Science with 2+ years, 5+ years of work experience. Previously worked at IBM, Facebook, Apple, Google located in Austin, TX, Seattle, WA, San Francisco, CA. Fluent in Spanish, English, French with strong Adaptability, Problem-Solving, Communication Skills, Teamwork. Certified in Google Cloud Professional, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k.","TensorFlow, Python, Kubernetes","IBM, Facebook, Apple, Google","Figma, Slack, Jira, GitHub","Master's in Information Systems, Bachelor's in Computer Science","2+ years, 5+ years","DevOps Engineer, Product Manager","Austin, TX, Seattle, WA, San Francisco, CA","Spanish, English, French","Adaptability, Problem-Solving, Communication Skills, Teamwork","$120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k","Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Experienced Software Engineer, Product Manager, Data Scientist professional with expertise in Machine Learning, Docker, Python and hands-on experience with Slack, GitHub, Jira, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems with Mid-Senior level, 2+ years, 3-5 years of work experience. Previously worked at Netflix, Microsoft located in Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA. Fluent in English, French, German with strong Leadership, Teamwork, Problem-Solving, Communication Skills. Certified in Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $120k–$150k, $80k–$100k, $90k–$120k.","Machine Learning, Docker, Python","Netflix, Microsoft","Slack, GitHub, Jira, Tableau","Bachelor's in Computer Science, Master's in Information Systems","Mid-Senior level, 2+ years, 3-5 years","Software Engineer, Product Manager, Data Scientist","Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA","English, French, German","Leadership, Teamwork, Problem-Solving, Communication Skills","$120k–$150k, $80k–$100k, $90k–$120k","Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Backend Developer, DevOps Engineer, Product Manager, Software Engineer professional with expertise in AWS, Python, SQL and hands-on experience with Salesforce, VS Code, Tableau. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with 5+ years, Mid-Senior level of work experience. Previously worked at Netflix, IBM, Google, Facebook located in San Francisco, CA, Seattle, WA, Chicago, IL, New York, NY. Fluent in Spanish, English with strong Teamwork, Leadership. Certified in Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k.","AWS, Python, SQL","Netflix, IBM, Google, Facebook","Salesforce, VS Code, Tableau","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, Mid-Senior level","Backend Developer, DevOps Engineer, Product Manager, Software Engineer","San Francisco, CA, Seattle, WA, Chicago, IL, New York, NY","Spanish, English","Teamwork, Leadership","$80k–$100k, $90k–$120k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Backend Developer, Software Engineer, Product Manager, Data Scientist professional with expertise in TensorFlow, Machine Learning, SQL, Python and hands-on experience with Figma, GitHub, Tableau, Jira. Holding Ph.D. in Data Science, Master's in Information Systems with 5+ years, 3-5 years, 7+ years of work experience. Previously worked at Facebook, Amazon, Microsoft, Apple located in Austin, TX, New York, NY, San Francisco, CA. Fluent in Spanish, French with strong Adaptability, Problem-Solving. Certified in Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $100k–$130k, $90k–$120k, $80k–$100k.","TensorFlow, Machine Learning, SQL, Python","Facebook, Amazon, Microsoft, Apple","Figma, GitHub, Tableau, Jira","Ph.D. in Data Science, Master's in Information Systems","5+ years, 3-5 years, 7+ years","Backend Developer, Software Engineer, Product Manager, Data Scientist","Austin, TX, New York, NY, San Francisco, CA","Spanish, French","Adaptability, Problem-Solving","$100k–$130k, $90k–$120k, $80k–$100k","Certified Scrum Master, PMP Certification"
"Experienced Data Scientist, DevOps Engineer, Product Manager, Backend Developer professional with expertise in Machine Learning, Python, Kubernetes, SQL and hands-on experience with Jira, VS Code, GitHub. Holding Bachelor's in Computer Science, Ph.D. in Data Science with 3-5 years, Entry level, 2+ years, 7+ years of work experience. Previously worked at Apple, Facebook, Microsoft located in San Francisco, CA, Austin, TX, Chicago, IL, Seattle, WA. Fluent in French, English with strong Adaptability, Teamwork, Communication Skills, Leadership. Certified in Certified Scrum Master, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k.","Machine Learning, Python, Kubernetes, SQL","Apple, Facebook, Microsoft","Jira, VS Code, GitHub","Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Entry level, 2+ years, 7+ years","Data Scientist, DevOps Engineer, Product Manager, Backend Developer","San Francisco, CA, Austin, TX, Chicago, IL, Seattle, WA","French, English","Adaptability, Teamwork, Communication Skills, Leadership","$100k–$130k, $80k–$100k","Certified Scrum Master, AWS Certified Solutions Architect"
"Experienced Product Manager, DevOps Engineer, Software Engineer, Backend Developer professional with expertise in SQL, Python, Kubernetes and hands-on experience with Tableau, Jira. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with Mid-Senior level, 7+ years of work experience. Previously worked at Google, IBM located in Seattle, WA, Austin, TX, Boston, MA, Chicago, IL. Fluent in French, German, Spanish, English with strong Problem-Solving, Teamwork, Adaptability, Communication Skills. Certified in Certified Scrum Master, Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k.","SQL, Python, Kubernetes","Google, IBM","Tableau, Jira","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 7+ years","Product Manager, DevOps Engineer, Software Engineer, Backend Developer","Seattle, WA, Austin, TX, Boston, MA, Chicago, IL","French, German, Spanish, English","Problem-Solving, Teamwork, Adaptability, Communication Skills","$90k–$120k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, PMP Certification"
"Experienced Data Scientist, Software Engineer professional with expertise in Java, TensorFlow and hands-on experience with Tableau, VS Code, GitHub. Holding Master's in Information Systems, Bachelor's in Computer Science with 7+ years, Mid-Senior level of work experience. Previously worked at Facebook, Apple, Netflix located in Chicago, IL, Austin, TX, Seattle, WA, Boston, MA. Fluent in Spanish, German, French, English with strong Leadership, Teamwork, Problem-Solving. Certified in AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k.","Java, TensorFlow","Facebook, Apple, Netflix","Tableau, VS Code, GitHub","Master's in Information Systems, Bachelor's in Computer Science","7+ years, Mid-Senior level","Data Scientist, Software Engineer","Chicago, IL, Austin, TX, Seattle, WA, Boston, MA","Spanish, German, French, English","Leadership, Teamwork, Problem-Solving","$120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k","AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
