resume_tools,jd_tools,label
"Figma, Azure, Elasticsearch, Selenium, MongoDB, Cypress, GitHub, Terraform","RabbitMQ, Elasticsearch, GitHub, Redis, Azure, Figma, FastAPI",0.14994481125423728
"PyTorch, Elasticsearch, Photoshop, Selenium, FastAPI, Terraform, Django","Photoshop, MongoDB, Spring Boot, Selenium",0.2732799725100422
"Flask, GitHub, VueJS, Canva, Redis","MongoDB, TensorFlow, Canva, Power BI",0.44341572521314504
"Terraform, Tableau, Docker, Bash, Flask","Ansible, VueJS, Illustrator, Canva, Flask, Terraform",0.4651934606830279
"MySQL, Kubernetes, Ansible, Django, Tableau","GitHub, Kubernetes, Bash, Jenkins",0.605098449840768
"Linux, TensorFlow, Azure, Selenium, Power BI, FastAPI","Selenium, Elasticsearch, NodeJS, Spring Boot, Azure",0.3266153384477222
"AWS, TensorFlow, Selenium, MongoDB","Kafka, TensorFlow, Kubernetes, PostgreSQL, Redis, GitHub, PyTorch",0.5559174216798309
"Django, Redis, Flask, Linux, PostgreSQL, Canva, Jenkins","Canva, Figma, RabbitMQ, Bash",0.5668066625471588
"Photoshop, Git, PostgreSQL, Figma, Bash","Ansible, Django, Illustrator, PyTorch, Cypress, Photoshop, Jenkins, Docker",0.3217092552771273
"Photoshop, MySQL, Elasticsearch, Azure, FastAPI","Illustrator, Elasticsearch, Tableau, Flask",0.23202810630904158
"Ansible, FastAPI, PostgreSQL, GCP, AWS, MySQL, TensorFlow, Illustrator","Docker, Power BI, Canva, Flask",0.25011405939782233
"MySQL, Django, Linux, GitLab, TensorFlow, Redis, Illustrator","AWS, RabbitMQ, Angular, GCP, Linux, FastAPI, Elasticsearch",0.5790862286272906
"Git, Terraform, FastAPI, PostgreSQL, Selenium","Photoshop, Kubernetes, ReactJS, PyTorch",0.21661394613758564
"TensorFlow, Cypress, Ansible, FastAPI, NodeJS, Jenkins, Selenium","Canva, Terraform, Azure, Git, Ansible, Kafka, VueJS, PyTorch",0.1841049316768723
"Canva, Selenium, Tableau, VueJS, ReactJS, Angular, Docker","Tableau, Git, ReactJS, Redis, Azure, Django",0.5756949991239811
"Angular, Flask, ReactJS, Azure, Git, Ansible","Kafka, AWS, Power BI, Docker",0.21419399955837845
"Kubernetes, Jenkins, Angular, Linux","Jenkins, Git, Tableau, GitHub",0.5942177683446634
"Azure, Elasticsearch, Django, RabbitMQ, Cypress, MongoDB, Docker","Photoshop, Figma, FastAPI, NodeJS, RabbitMQ, ReactJS",0.43270453414351023
"MySQL, Azure, AWS, Flask, Kafka, Git","Flask, Bash, Terraform, Django, GitHub, GCP",0.16405126066677328
"Selenium, Figma, Git, NodeJS, VueJS, PyTorch, Power BI","GCP, GitLab, Kafka, VueJS, Redis, Jenkins",0.6048396958911384
"RabbitMQ, Elasticsearch, NodeJS, PostgreSQL, Angular, Spring Boot, Bash","Canva, Illustrator, Selenium, GitHub",0.5125143675592226
"Docker, FastAPI, Linux, Azure, Jenkins, Illustrator, Angular, AWS","MongoDB, Tableau, ReactJS, Kubernetes",0.2311236901166131
"Azure, PostgreSQL, Terraform, MySQL, Canva, PyTorch","Photoshop, Flask, Bash, Azure, VueJS, Kafka, Elasticsearch",0.2682434408111023
"Canva, Azure, TensorFlow, GCP, GitLab, Jenkins, MySQL, Linux","Bash, Cypress, PostgreSQL, AWS, Power BI, GitLab, MongoDB",0.4188459802854464
"Photoshop, Git, Illustrator, Django, Docker","Django, GitLab, Terraform, VueJS, RabbitMQ",0.5501793648706277
"Figma, Django, Ansible, AWS","Kafka, Linux, Azure, MongoDB, Redis, Terraform",0.5578103485275587
"MySQL, TensorFlow, Power BI, Redis, Tableau, Kubernetes","Django, Spring Boot, Ansible, FastAPI",0.20588091100983882
"AWS, Tableau, Azure, Figma, VueJS, GitLab","Git, Tableau, Canva, Docker",0.5179420720121182
"Kubernetes, Angular, Azure, Terraform, PyTorch, Tableau, Git, MongoDB","RabbitMQ, TensorFlow, Jenkins, Ansible, Kafka, Elasticsearch, Docker, Tableau",0.5372309836333699
"Azure, Kubernetes, Tableau, NodeJS, Angular","GCP, MySQL, PostgreSQL, Jenkins, Angular",0.5473577764202289
"MongoDB, PostgreSQL, NodeJS, Terraform, Linux","Terraform, FastAPI, Django, Spring Boot",0.5475865105273706
"ReactJS, Selenium, Flask, VueJS, Cypress, PostgreSQL, Linux, MySQL","Kafka, GCP, FastAPI, Terraform, PyTorch, Django, TensorFlow",0.424960006459207
"RabbitMQ, Selenium, Canva, MySQL, Flask, Spring Boot, Azure, GitLab","Figma, MongoDB, Docker, GitLab, VueJS, ReactJS, Tableau, Flask",0.305312261054264
"Redis, GitLab, MongoDB, Jenkins, PostgreSQL, AWS, Bash, TensorFlow","Figma, Power BI, AWS, MySQL, Spring Boot",0.2553966837605389
"Ansible, AWS, MySQL, VueJS, Jenkins, Photoshop, PyTorch, FastAPI","Redis, PostgreSQL, Flask, Elasticsearch, MongoDB",0.1741171195094262
"VueJS, NodeJS, GitHub, Photoshop, AWS","GitHub, Flask, Bash, Kubernetes",0.49428563732791103
"Flask, RabbitMQ, Docker, Elasticsearch, Ansible, Azure, Kafka, Canva","GCP, NodeJS, Azure, Kubernetes, Selenium, AWS, GitLab",0.24387716038767016
"ReactJS, AWS, Cypress, Docker, FastAPI","Bash, PostgreSQL, Ansible, GitLab, Spring Boot, GCP, Redis, Kubernetes",0.4811268699783071
"Selenium, Illustrator, Cypress, Django, Azure, PostgreSQL, AWS","ReactJS, Cypress, PyTorch, Spring Boot",0.20192960871220753
"PostgreSQL, Tableau, GitLab, Power BI","Azure, Cypress, Photoshop, Power BI, AWS",0.5714551897728123
"RabbitMQ, Power BI, MongoDB, Bash, Redis, Photoshop, FastAPI","Jenkins, PyTorch, Figma, Power BI, Kubernetes, Cypress, GitHub",0.45053438098034704
"TensorFlow, Terraform, Kafka, PostgreSQL, Angular, Spring Boot, Power BI, Azure","MongoDB, Linux, Spring Boot, GCP",0.27092163333904434
"Docker, Power BI, Figma, Linux","AWS, NodeJS, Power BI, Cypress, TensorFlow",0.4112210098824258
"RabbitMQ, PyTorch, MySQL, MongoDB","Git, Figma, Kafka, GCP, Photoshop",0.23897726817370585
"Redis, Canva, GCP, GitLab","GitHub, Terraform, Docker, Git, Kafka, PostgreSQL",0.41941723595928543
"Canva, PyTorch, MySQL, Photoshop, Figma, GCP, Selenium, GitLab","Jenkins, Illustrator, Canva, Photoshop, GitHub",0.14207339667191818
"Kubernetes, Selenium, Azure, Linux, Elasticsearch","Kafka, Redis, AWS, Linux, Git, Selenium",0.19309899285165574
"Jenkins, Git, Illustrator, FastAPI, TensorFlow, MongoDB","Linux, Django, Angular, Canva, Redis, Power BI, Ansible, Spring Boot",0.14031899727435168
"Git, MySQL, Illustrator, PyTorch, MongoDB, PostgreSQL, Ansible","Terraform, Linux, Kafka, FastAPI, GitLab, Spring Boot, TensorFlow",0.11843601324518613
"Photoshop, Tableau, VueJS, TensorFlow","Ansible, FastAPI, Linux, NodeJS, Redis",0.4266740323620086
"PyTorch, Django, TensorFlow, Elasticsearch, Kubernetes","Angular, Docker, Kafka, AWS, Bash, Tableau, Jenkins, Power BI",0.4238650439878071
"GitLab, Angular, Terraform, FastAPI","FastAPI, Git, Angular, RabbitMQ, Django, Spring Boot, GCP, Ansible",0.12485519713707358
"FastAPI, TensorFlow, Illustrator, Angular, Figma, ReactJS","Kafka, Flask, Terraform, ReactJS, Power BI",0.5849106302456276
"Figma, Terraform, Flask, ReactJS, TensorFlow, VueJS","Illustrator, Power BI, Spring Boot, Kubernetes",0.45395333469136706
"Kafka, AWS, Django, Cypress, GCP, Ansible, Terraform","PostgreSQL, Git, AWS, Redis, Spring Boot, GitLab",0.24339284027206018
"Django, RabbitMQ, Spring Boot, Power BI, AWS, GCP, VueJS","AWS, ReactJS, PostgreSQL, Terraform, Photoshop, Jenkins",0.41327224818901925
"Canva, TensorFlow, GCP, Jenkins, Figma","AWS, Cypress, TensorFlow, MongoDB, GitHub, Elasticsearch, Git, Django",0.14194063175181743
"TensorFlow, GitHub, ReactJS, Elasticsearch, Tableau, FastAPI, VueJS","Selenium, GitHub, ReactJS, GitLab, Power BI, Illustrator, Terraform",0.13327512691069535
"Figma, GitLab, Illustrator, Power BI","Power BI, Illustrator, TensorFlow, Terraform",0.4447125181568876
"Terraform, Bash, Docker, Ansible","Jenkins, Canva, GitHub, MySQL, Power BI",0.2732210331761985
"GitLab, Canva, Figma, Kafka, Azure, Ansible","Selenium, Ansible, Tableau, GitHub, Cypress, MongoDB, Git",0.4324041435918058
"Redis, Linux, FastAPI, Kafka, Terraform, PostgreSQL, GitLab","Tableau, Kubernetes, Docker, PostgreSQL, GCP, Linux",0.19328254496656175
"Power BI, Docker, Illustrator, PostgreSQL, Cypress, TensorFlow","Tableau, NodeJS, Jenkins, PostgreSQL, Linux",0.4330209107179195
"Docker, PyTorch, VueJS, Photoshop","Spring Boot, Power BI, TensorFlow, Django, Tableau, Illustrator, GitHub",0.2213973367067873
"Django, Git, Photoshop, GCP, Kubernetes, Power BI, TensorFlow, Ansible","Angular, Spring Boot, Ansible, RabbitMQ, Power BI, MySQL",0.1621204578606587
"Selenium, Kafka, Git, Bash, GitLab, Illustrator, PostgreSQL, Azure","Spring Boot, Canva, Ansible, FastAPI, Kafka, Angular",0.45167925404169257
"Canva, Linux, Azure, PyTorch, Photoshop, AWS, RabbitMQ, FastAPI","TensorFlow, Git, MySQL, Linux",0.28219042013541595
"Flask, AWS, Bash, MongoDB, PostgreSQL, Power BI","Kubernetes, Flask, Figma, RabbitMQ, Tableau, AWS, ReactJS",0.2634573347030627
"Tableau, Django, Kubernetes, Git, Kafka, Angular","MySQL, PostgreSQL, NodeJS, Docker, Git, Linux",0.10331406699076623
"GCP, Redis, Selenium, Azure, RabbitMQ","Ansible, GCP, PostgreSQL, Spring Boot, Jenkins, Flask, Illustrator, Canva",0.15241750873058935
"MySQL, Figma, GCP, GitHub, Terraform","NodeJS, Kubernetes, Photoshop, AWS, PostgreSQL, GitLab, MySQL",0.3917510352662749
"Git, Cypress, RabbitMQ, Linux, Elasticsearch, Canva","Canva, Photoshop, Docker, Azure, Selenium, Terraform",0.5412722368130052
"ReactJS, Linux, GitHub, Terraform","Spring Boot, Canva, Illustrator, Selenium",0.11041300152511743
"Spring Boot, Docker, NodeJS, Power BI, Bash, TensorFlow, Git, Linux","Angular, MongoDB, Photoshop, Flask, Linux, Elasticsearch",0.2601225144240523
"Illustrator, Linux, Spring Boot, Terraform, PyTorch, Bash","Canva, Docker, AWS, NodeJS",0.28902233476350836
"Azure, Flask, Kafka, PostgreSQL, Terraform, Illustrator, Figma, Selenium","Elasticsearch, MySQL, PostgreSQL, Jenkins",0.27980310014408855
"Jenkins, MongoDB, Angular, Git, AWS, Flask, Ansible","GitHub, PyTorch, NodeJS, Cypress, MySQL",0.28949723996055715
"AWS, MySQL, Flask, NodeJS, VueJS","Figma, Redis, Tableau, ReactJS, VueJS",0.22993577360835682
"ReactJS, Spring Boot, Elasticsearch, Bash, Redis, Kubernetes, Tableau","VueJS, GitLab, FastAPI, Elasticsearch, Figma, Jenkins, Git",0.3896317277328623
"Angular, MongoDB, Jenkins, PostgreSQL, ReactJS, Figma, Linux","Redis, GCP, Elasticsearch, Illustrator, Bash",0.39875329723152536
"MongoDB, FastAPI, GitHub, NodeJS, Tableau","Canva, Photoshop, RabbitMQ, Spring Boot, Kafka, Power BI",0.16714255124427538
"Git, PyTorch, GitHub, RabbitMQ","FastAPI, Django, Figma, Tableau, Terraform",0.5457437219132252
"VueJS, PostgreSQL, MySQL, Linux, FastAPI, Redis","Cypress, GCP, PyTorch, Azure, Angular",0.12445079418543523
"AWS, Linux, GitHub, MySQL, Tableau, Illustrator, Angular, Cypress","MongoDB, Selenium, NodeJS, Jenkins, GCP, VueJS, ReactJS, Canva",0.1426422899159499
"Ansible, FastAPI, GitLab, Kafka, Power BI, ReactJS, RabbitMQ","AWS, Jenkins, Power BI, Angular, MySQL",0.19282003091205746
"Illustrator, Jenkins, GitLab, Angular, Kafka, VueJS","Django, TensorFlow, Canva, Photoshop, GCP",0.5318599106298219
"GitLab, Terraform, Jenkins, AWS, Cypress","Elasticsearch, Selenium, Linux, Jenkins, MongoDB, Canva, Figma",0.5716195188924438
"Azure, Linux, Illustrator, Jenkins, VueJS, Photoshop","Flask, Docker, GCP, Jenkins",0.3817969512783084
"Flask, Spring Boot, NodeJS, Kafka, Git, Figma, Terraform, Azure","Ansible, Terraform, Azure, MongoDB, Django, TensorFlow, Power BI, GitLab",0.39322786970767415
"Canva, Redis, ReactJS, Azure, Ansible, Flask, TensorFlow, GitHub","PostgreSQL, RabbitMQ, Redis, Flask, Bash",0.4644600074025341
"Kubernetes, Docker, Elasticsearch, Kafka, Django","Elasticsearch, Photoshop, GitLab, Azure, Flask, Git",0.114490073822923
"FastAPI, Figma, Azure, GitLab, MongoDB, Tableau, NodeJS, Selenium","Terraform, Illustrator, GitLab, Django, MySQL, Bash",0.27434182323153167
"NodeJS, MySQL, GitLab, MongoDB, Terraform, Cypress, Ansible","ReactJS, Docker, Power BI, Elasticsearch, Illustrator, Git, Terraform, Azure",0.5047682722996442
"Illustrator, Kafka, VueJS, MySQL, Photoshop","GCP, Linux, Terraform, TensorFlow, Angular",0.224060408514765
"Kafka, RabbitMQ, Angular, Selenium, Linux","NodeJS, Illustrator, PyTorch, Power BI, GitLab, AWS, Git",0.5028193010406792
"GitLab, Illustrator, GCP, Selenium, Figma, Flask, RabbitMQ","Selenium, Figma, GCP, Redis, Bash, MySQL",0.4050554446192652
"GCP, Photoshop, Azure, Spring Boot, Cypress, MongoDB, Kubernetes, RabbitMQ","Bash, PostgreSQL, Illustrator, Photoshop",0.12540709714920192
"Illustrator, GitLab, Kubernetes, NodeJS, GitHub","Django, Docker, Figma, Git, Ansible, Kafka, Tableau, Photoshop",0.24503422595207128
"Flask, Ansible, VueJS, Linux","Git, ReactJS, Tableau, Flask, Canva, Elasticsearch",0.433653869061028
"GCP, Terraform, PostgreSQL, Azure, Ansible, Kafka, Angular, Power BI","Spring Boot, Cypress, RabbitMQ, Angular, Linux, Django, GitLab",0.25310571604497833
"GitLab, Docker, Linux, RabbitMQ","Flask, Tableau, Linux, Kubernetes, AWS, Illustrator",0.5736278924105698
"VueJS, Docker, Figma, GitHub, MySQL, Kubernetes, RabbitMQ","Photoshop, MongoDB, TensorFlow, Angular",0.5330506357527816
"GitHub, Flask, GitLab, Illustrator, Bash, Canva","Canva, Kafka, Bash, VueJS, Selenium",0.16404219793529876
"GitHub, Illustrator, Elasticsearch, Spring Boot, RabbitMQ","PostgreSQL, RabbitMQ, Elasticsearch, Docker, GitLab, GCP, MySQL, ReactJS",0.4953086712307825
"MySQL, Tableau, Elasticsearch, PostgreSQL, Cypress, GCP, GitHub, TensorFlow","MySQL, GitHub, FastAPI, Illustrator",0.2664192895372481
"NodeJS, Terraform, Selenium, Kafka","Flask, Canva, Illustrator, Docker, PostgreSQL, Jenkins",0.1456581462721257
"FastAPI, Flask, Cypress, ReactJS, Terraform, AWS","Tableau, Angular, Illustrator, Cypress, TensorFlow, Jenkins, Terraform",0.14634120198342931
"PyTorch, PostgreSQL, Git, GitHub, Kubernetes, TensorFlow, Power BI","Power BI, Bash, Photoshop, Git",0.5476774042997457
"Git, GitHub, Flask, ReactJS, GCP, TensorFlow, PostgreSQL","Linux, GitLab, TensorFlow, Terraform, Jenkins, PyTorch, Django, ReactJS",0.3887731898141583
"Illustrator, Flask, Photoshop, GCP, Power BI","AWS, Ansible, RabbitMQ, Tableau, Docker",0.17780184820668407
"FastAPI, Ansible, Git, Elasticsearch, Docker, RabbitMQ","Photoshop, RabbitMQ, Git, VueJS, MongoDB, Kubernetes, TensorFlow, Bash",0.5785339596492162
"MySQL, Redis, Flask, FastAPI, NodeJS, Spring Boot, Power BI","Angular, Figma, PyTorch, Elasticsearch, Redis, Cypress",0.18867387483113404
"Selenium, Git, NodeJS, Kafka, Redis, VueJS, GitLab, GitHub","TensorFlow, Redis, Angular, Terraform, Canva",0.178623951881924
"Bash, Redis, Azure, PostgreSQL","GitHub, Power BI, MongoDB, AWS",0.12816902923050574
"VueJS, Docker, Kafka, Git, MySQL, TensorFlow, NodeJS, Terraform","Terraform, RabbitMQ, AWS, Linux, Git, Spring Boot",0.268896960263053
"Spring Boot, RabbitMQ, Terraform, Ansible, Git, Jenkins, Angular, MongoDB","Jenkins, MongoDB, Azure, Docker, TensorFlow, Kafka, Cypress",0.2795640787993971
"MongoDB, Flask, Canva, PyTorch, Azure, Angular","Jenkins, Elasticsearch, AWS, Ansible",0.43883349119950354
"Git, Canva, GCP, GitLab, ReactJS, AWS","Bash, Selenium, Django, GitHub",0.48871016948660484
"MongoDB, Kafka, ReactJS, Elasticsearch, Git, Kubernetes, GCP, Linux","Ansible, Illustrator, FastAPI, Kafka, Docker, GitHub, GCP, MongoDB",0.5410230776159035
"Flask, Ansible, Azure, RabbitMQ, TensorFlow, Django, ReactJS, Spring Boot","RabbitMQ, Selenium, VueJS, PyTorch, GitHub, Linux, Ansible",0.22170393373854624
"Git, VueJS, Tableau, Kubernetes, Elasticsearch, TensorFlow","RabbitMQ, PyTorch, Django, Bash, Git, GitHub",0.2107693781307144
"Selenium, RabbitMQ, Cypress, PostgreSQL, Linux, AWS","PostgreSQL, TensorFlow, Redis, ReactJS, Illustrator, GitHub",0.27098608148408565
"MySQL, GitHub, AWS, Azure, Selenium","ReactJS, PyTorch, GitLab, Canva",0.12087140923710696
"Azure, MySQL, TensorFlow, FastAPI, Ansible","RabbitMQ, Ansible, Tableau, Cypress, GCP",0.2108580406075452
"Photoshop, FastAPI, Illustrator, Redis","Redis, GitHub, Figma, Azure, GitLab",0.21095402981449551
"Figma, Kafka, Illustrator, Jenkins, Flask, Selenium, Azure","Canva, MongoDB, PyTorch, Linux, Tableau",0.5700085762299341
"PostgreSQL, Terraform, PyTorch, Elasticsearch, Docker, Figma, Tableau","Jenkins, Spring Boot, Angular, Elasticsearch, Ansible, Illustrator, Flask",0.09967239418210017
"Docker, Elasticsearch, Bash, TensorFlow, VueJS","GitHub, MongoDB, Redis, AWS, Docker, NodeJS",0.26858200272357197
"Kubernetes, TensorFlow, MySQL, Cypress, Illustrator, Linux","Canva, ReactJS, GitHub, Redis, Docker, Spring Boot",0.46729233658768954
"GCP, MongoDB, Docker, Power BI, Kafka, Kubernetes","Azure, AWS, GitHub, Jenkins, Terraform",0.09650677209511022
"Spring Boot, Ansible, Selenium, TensorFlow","Bash, FastAPI, MySQL, Angular, ReactJS, Canva, TensorFlow, Jenkins",0.1760404785497082
"Git, Figma, Flask, Spring Boot","Jenkins, Bash, NodeJS, Kubernetes, Ansible",0.5150100958693662
"Terraform, PyTorch, Cypress, Illustrator, TensorFlow","Terraform, GitLab, Django, Spring Boot, Git, GitHub",0.5648744850841162
"MySQL, Spring Boot, GitLab, Docker, PostgreSQL, Tableau, Angular","Kubernetes, Kafka, Django, Terraform",0.13448633612223293
"Docker, Tableau, Selenium, AWS","Canva, MongoDB, NodeJS, GitLab, Figma",0.22359084170632154
"VueJS, GCP, ReactJS, Spring Boot, FastAPI","PostgreSQL, Git, GitHub, Elasticsearch, Photoshop, Docker",0.4024098888134963
"TensorFlow, Cypress, Flask, Jenkins","Kubernetes, Azure, Flask, GCP, MongoDB, Ansible, Django, Linux",0.45167782062659995
"MongoDB, MySQL, Illustrator, Flask, Canva, NodeJS","Git, TensorFlow, Power BI, Canva, VueJS, Elasticsearch",0.46165568299964993
