resume_edu,jd_edu,expected_match
Bachelor of Engineering in Mechanical Engineering,B.Sc of Engineering in Mechanical Engineering,True
Master of Technology in Artificial Intelligence,masters of technology in artificial intelligence,True
Bachelor of Technology in Computer Science,Bachelor's of Technology in Computer Science,True
Master of Engineering in Computer Networks,Masters of Engineering in Computer Networks,True
Bachelor of Environmental Science,Bachelor's of Environmental Science,True
Doctor of Philosophy in Physics,PhD of Philosophy in Physics,True
Bachelor of Library Science,B.Tech of Library Science,True
Bachelor of Arts in History,B.Tech of Arts in History,True
Bachelor of Social Work,bachelors of social work,True
Doctor of Philosophy in Physics,PhD of Philosophy in Physics,True
Bachelor of Journalism,Bachelors of Journalism,True
Bachelor of Software Engineering,B.Tech of Software Engineering,True
Bachelor of Science in Nursing,b.tech of science in nursing,True
Master of Business Administration,M.Sc of Business Administration,True
Bachelor of Agricultural Science,B.Tech of Agricultural Science,True
Bachelor of Engineering in Electrical Engineering,B.Sc of Engineering in Electrical Engineering,True
Bachelor of Library Science,B.Tech of Library Science,True
Bachelor of Architecture,B.Tech of Architecture,True
Bachelor of Science in Mathematics,B.Tech of Science in Mathematics,True
Bachelor of Aerospace Engineering,Bachelor's of Aerospace Engineering,True
Bachelor of Science in Information Technology,Bachelors of Science in Information Technology,True
Master of Public Health,M.Tech of Public Health,True
Bachelor of Engineering in Electrical Engineering,B.Tech of Engineering in Electrical Engineering,True
Bachelor of Criminal Justice,Bachelors of Criminal Justice,True
Bachelor of Anthropology,B.Tech of Anthropology,True
Bachelor of Social Work,Bachelors of Social Work,True
Bachelor of Software Engineering,Bachelors of Software Engineering,True
Bachelor of Commerce,bachelors of commerce,True
Bachelor of Design,bachelors of design,True
Bachelor of Technology in Computer Science,Bachelors of Technology in Computer Science,True
Bachelor of Law (LLB),Bachelors of Law (LLB),True
Master of Technology in Artificial Intelligence,M.Sc of Technology in Artificial Intelligence,True
Master of Engineering in Computer Networks,Masters of Engineering in Computer Networks,True
Bachelor of Veterinary Science,Bachelor's of Veterinary Science,True
Bachelor of Agricultural Science,B.Tech of Agricultural Science,True
Bachelor of Engineering in Mechanical Engineering,Bachelor's of Engineering in Mechanical Engineering,True
Bachelor of Veterinary Science,B.Sc of Veterinary Science,True
Bachelor of Chemical Engineering,B.Tech of Chemical Engineering,True
Master of Business Administration,m.sc of business administration,True
Bachelor of Physical Education,b.sc of physical education,True
Bachelor of Library Science,Bachelor's of Library Science,True
Bachelor of Criminal Justice,B.Sc of Criminal Justice,True
Bachelor of Science in Biotechnology,B.Sc of Science in Biotechnology,True
Master of Computer Applications,M.Tech of Computer Applications,True
Master of Technology in Artificial Intelligence,Masters of Technology in Artificial Intelligence,True
Bachelor of Cognitive Science,B.Tech of Cognitive Science,True
Bachelor of Science in Information Technology,Bachelors of Science in Information Technology,True
Doctor of Philosophy in Physics,PhD of Philosophy in Physics,True
Bachelor of Design,B.Sc of Design,True
Bachelor of Science in Mathematics,B.Tech of Science in Mathematics,True
Bachelor of Aerospace Engineering,Bachelor's of Aerospace Engineering,True
Bachelor of Physical Education,B.Sc of Physical Education,True
Bachelor of Business Administration,Bachelors of Business Administration,True
Bachelor of Engineering in Mechanical Engineering,Bachelor's of Engineering in Mechanical Engineering,True
Bachelor of Oceanography,Bachelor's of Oceanography,True
Bachelor of Data Science,Bachelors of Data Science,True
Bachelor of Psychology,b.sc of psychology,True
Bachelor of Laws and Arts,B.Sc of Laws and Arts,True
Master of Public Health,M.Tech of Public Health,True
Bachelor of Science in Mathematics,B.Sc of Science in Mathematics,True
Master of Business Administration,Masters of Business Administration,True
Bachelor of Music,B.Tech of Music,True
Bachelor of Physical Education,b.tech of physical education,True
Bachelor of Business Administration,B.Sc of Business Administration,True
Bachelor of Law (LLB),b.tech of law (llb),True
Bachelor of Fine Arts,Bachelor's of Fine Arts,True
Doctor of Philosophy in Physics,phd of philosophy in physics,True
Bachelor of Engineering in Mechanical Engineering,Bachelors of Engineering in Mechanical Engineering,True
Bachelor of Library Science,B.Tech of Library Science,True
Bachelor of Science in Biotechnology,B.Tech of Science in Biotechnology,True
Bachelor of Aerospace Engineering,Bachelor's of Aerospace Engineering,True
Bachelor of Applied Science,B.Tech of Applied Science,True
Bachelor of Software Engineering,B.Tech of Software Engineering,True
Bachelor of Chemical Engineering,B.Sc of Chemical Engineering,True
Master of Social Work,Master's of Social Work,True
Master of Business Administration,masters of business administration,True
Doctor of Philosophy in Physics,Doctorate of Philosophy in Physics,True
Master of Technology in Artificial Intelligence,M.Sc of Technology in Artificial Intelligence,True
Bachelor of Education,Bachelor's of Education,True
Bachelor of Hotel Management,B.Sc of Hotel Management,True
Bachelor of Music,Bachelor's of Music,True
Bachelor of Aerospace Engineering,Bachelor's of Aerospace Engineering,True
Bachelor of Veterinary Science,Bachelor's of Veterinary Science,True
Bachelor of Cognitive Science,b.sc of cognitive science,True
Bachelor of Biomedical Engineering,Bachelors of Biomedical Engineering,True
Bachelor of Statistics,Bachelors of Statistics,True
Bachelor of Science in Information Technology,b.sc of science in information technology,True
Bachelor of Music,Bachelor's of Music,True
Bachelor of Architecture,b.tech of architecture,True
Bachelor of Fine Arts,B.Tech of Fine Arts,True
Master of Business Administration,M.Sc of Business Administration,True
Bachelor of Science in Information Technology,B.Tech of Science in Information Technology,True
Bachelor of Fisheries Science,B.Tech of Fisheries Science,True
Master of Engineering in Computer Networks,Masters of Engineering in Computer Networks,True
Bachelor of Aerospace Engineering,B.Sc of Aerospace Engineering,True
Bachelor of Software Engineering,B.Sc of Software Engineering,True
Bachelor of Performing Arts,Bachelors of Performing Arts,True
Bachelor of Fine Arts,B.Sc of Fine Arts,True
Bachelor of Agricultural Science,B.Tech of Agricultural Science,True
Bachelor of Theology,B.Sc of Theology,True
Bachelor of Fine Arts,Bachelor's of Fine Arts,True
Bachelor of Journalism,bachelor's of journalism,True
Master of Public Health,Masters of Public Health,True
Bachelor of Social Work,B.Sc of Social Work,True
Bachelor of Journalism,Bachelor's of Journalism,True
Bachelor of Social Work,Bachelors of Social Work,True
Bachelor of Pharmacy,B.Tech of Pharmacy,True
Bachelor of Library Science,Bachelors of Library Science,True
Bachelor of Arts in History,Bachelor's of Arts in History,True
Bachelor of Library Science,B.Sc of Library Science,True
Master of Social Work,m.tech of social work,True
Bachelor of Oceanography,Bachelor's of Oceanography,True
Bachelor of Arts in History,bachelors of arts in history,True
Bachelor of Forestry,Bachelors of Forestry,True
Doctor of Medicine,PhD of Medicine,True
Master of Management Studies,M.Sc of Management Studies,True
Bachelor of Forestry,Bachelors of Forestry,True
Bachelor of Engineering in Electrical Engineering,b.sc of engineering in electrical engineering,True
Bachelor of Business Administration,bachelors of business administration,True
Doctor of Medicine,PhD of Medicine,True
Bachelor of Software Engineering,B.Tech of Software Engineering,True
Bachelor of Environmental Science,Bachelor's of Environmental Science,True
Bachelor of Theology,Bachelors of Theology,True
Bachelor of Veterinary Science,bachelor's of veterinary science,True
Bachelor of Aerospace Engineering,Bachelors of Aerospace Engineering,True
Bachelor of Information Systems,bachelor's of information systems,True
Bachelor of Science in Nursing,B.Sc of Science in Nursing,True
Master of Social Work,M.Sc of Social Work,True
Bachelor of Cognitive Science,B.Sc of Cognitive Science,True
Bachelor of Business Administration,Bachelor's of Business Administration,True
Bachelor of Physical Education,Bachelor's of Physical Education,True
Bachelor of Commerce,B.Tech of Commerce,True
Master of Technology in Artificial Intelligence,Master's of Technology in Artificial Intelligence,True
Bachelor of Pharmacy,Bachelor's of Pharmacy,True
Bachelor of Engineering in Mechanical Engineering,Bachelor's of Engineering in Mechanical Engineering,True
Bachelor of Anthropology,B.Tech of Anthropology,True
Master of Engineering in Computer Networks,m.tech of engineering in computer networks,True
Bachelor of Science in Mathematics,B.Tech of Science in Mathematics,True
Bachelor of Performing Arts,Bachelors of Performing Arts,True
Bachelor of Agricultural Science,bachelor's of agricultural science,True
Doctor of Medicine,phd of medicine,True
Bachelor of Science in Mathematics,bachelor's of science in mathematics,True
Bachelor of Hotel Management,Bachelors of Hotel Management,True
Bachelor of Applied Science,B.Sc of Applied Science,True
Bachelor of Fine Arts,B.Tech of Fine Arts,True
Bachelor of Chemical Engineering,Bachelor's of Chemical Engineering,True
Bachelor of Arts in History,B.Tech of Arts in History,True
Master of Science in Data Analytics,Masters of Science in Data Analytics,True
Bachelor of Criminal Justice,Bachelors of Criminal Justice,True
Bachelor of Agricultural Science,Bachelor's of Agricultural Science,True
Bachelor of Theology,Bachelors of Theology,True
Bachelor of Aerospace Engineering,Bachelor's of Aerospace Engineering,True
Master of Science in Data Analytics,master's of science in data analytics,True
Doctor of Medicine,PhD of Medicine,True
Bachelor of Physical Education,B.Tech of Physical Education,True
Bachelor of Technology in Computer Science,B.Tech of Technology in Computer Science,True
Master of Management Studies,Master's of Management Studies,True
Master of Business Administration,Masters of Business Administration,True
Bachelor of Chemical Engineering,B.Tech of Chemical Engineering,True
Bachelor of Information Systems,B.Sc of Information Systems,True
Bachelor of Pharmacy,B.Tech of Pharmacy,True
Bachelor of Statistics,B.Sc of Statistics,True
Bachelor of Engineering in Electrical Engineering,B.Tech of Engineering in Electrical Engineering,True
Bachelor of Social Work,B.Sc of Social Work,True
Bachelor of Commerce,B.Sc of Commerce,True
Bachelor of Veterinary Science,Bachelors of Veterinary Science,True
Master of Financial Engineering,M.Sc of Financial Engineering,True
Bachelor of Statistics,Bachelors of Statistics,True
Bachelor of Science in Information Technology,Bachelors of Science in Information Technology,True
Bachelor of Agricultural Science,B.Tech of Agricultural Science,True
Bachelor of Engineering in Electrical Engineering,B.Tech of Engineering in Electrical Engineering,True
Bachelor of Data Science,B.Sc of Data Science,True
Bachelor of Aerospace Engineering,B.Sc of Aerospace Engineering,True
Master of Financial Engineering,Master's of Financial Engineering,True
Bachelor of Criminal Justice,bachelors of criminal justice,True
Bachelor of Criminal Justice,B.Tech of Criminal Justice,True
Master of Public Health,M.Tech of Public Health,True
Bachelor of Hotel Management,Bachelors of Hotel Management,True
Bachelor of Biomedical Engineering,B.Sc of Biomedical Engineering,True
Master of Science in Data Analytics,M.Sc of Science in Data Analytics,True
Bachelor of Psychology,B.Sc of Psychology,True
Master of Engineering in Computer Networks,Master's of Engineering in Computer Networks,True
Bachelor of Statistics,Bachelors of Statistics,True
Bachelor of Pharmacy,B.Sc of Pharmacy,True
Master of Management Studies,masters of management studies,True
Bachelor of Library Science,bachelor's of library science,True
Bachelor of Chemical Engineering,bachelors of chemical engineering,True
Bachelor of Business Administration,B.Tech of Business Administration,True
Bachelor of Data Science,Bachelor's of Data Science,True
Bachelor of Architecture,Bachelor's of Architecture,True
Bachelor of Cognitive Science,Bachelors of Cognitive Science,True
Bachelor of Commerce,b.sc of commerce,True
Bachelor of Software Engineering,Bachelor's of Software Engineering,True
Bachelor of Forestry,Bachelor's of Forestry,True
Bachelor of Business Administration,Bachelors of Business Administration,True
Bachelor of Business Administration,B.Sc of Business Administration,True
Bachelor of Pharmacy,Bachelors of Pharmacy,True
Bachelor of Education,B.Sc of Education,True
Master of Business Administration,M.Sc of Business Administration,True
Bachelor of Laws and Arts,Bachelor's of Laws and Arts,True
Bachelor of Fisheries Science,Bachelor's of Fisheries Science,True
Bachelor of Education,B.Tech of Education,True
Master of Business Administration,Masters of Business Administration,True
Bachelor of Performing Arts,Bachelors of Performing Arts,True
Bachelor of Pharmacy,B.Sc of Pharmacy,True
Master of Management Studies,M.Sc of Management Studies,True
Bachelor of Music,B.Tech of Music,True
Bachelor of Science in Information Technology,B.Sc of Science in Information Technology,True
Bachelor of Law (LLB),Bachelor's of Law (LLB),True
Master of Management Studies,M.Sc of Management Studies,True
Bachelor of Environmental Science,B.Sc of Environmental Science,True
Bachelor of Applied Science,B.Sc of Applied Science,True
Bachelor of Forestry,Bachelors of Forestry,True
Bachelor of Veterinary Science,b.sc of veterinary science,True
Doctor of Medicine,PhD of Medicine,True
Master of Technology in Artificial Intelligence,Masters of Technology in Artificial Intelligence,True
Bachelor of Education,Bachelors of Education,True
Bachelor of Performing Arts,Bachelors of Performing Arts,True
Bachelor of Arts in Political Science,B.Sc of Arts in Political Science,True
Bachelor of Fisheries Science,b.tech of fisheries science,True
Master of Computer Applications,M.Sc of Computer Applications,True
Bachelor of Criminal Justice,Bachelor's of Criminal Justice,True
Bachelor of Architecture,b.sc of architecture,True
Bachelor of Psychology,B.Tech of Psychology,True
Bachelor of Hotel Management,b.sc of hotel management,True
Bachelor of Biomedical Engineering,B.Sc of Biomedical Engineering,True
Bachelor of Science in Biotechnology,Bachelors of Science in Biotechnology,True
Bachelor of Cognitive Science,B.Sc of Cognitive Science,True
Bachelor of Library Science,bachelor's of library science,True
Bachelor of Aerospace Engineering,Bachelors of Aerospace Engineering,True
Bachelor of Cognitive Science,B.Tech of Cognitive Science,True
Master of Engineering in Computer Networks,M.Sc of Engineering in Computer Networks,True
Bachelor of Oceanography,Bachelors of Oceanography,True
Bachelor of Psychology,B.Tech of Psychology,True
Master of Management Studies,Master's of Management Studies,True
Bachelor of Information Systems,Bachelors of Information Systems,True
Doctor of Philosophy in Physics,PhD of Philosophy in Physics,True
Bachelor of Music,Bachelors of Music,True
Bachelor of Hotel Management,Bachelors of Hotel Management,True
Bachelor of Commerce,b.sc of commerce,True
Bachelor of Software Engineering,B.Tech of Software Engineering,True
Bachelor of Library Science,B.Sc of Library Science,True
Bachelor of Statistics,B.Tech of Statistics,True
Bachelor of Science in Information Technology,bachelor's of science in information technology,True
Bachelor of Veterinary Science,B.Tech of Environmental Science,False
Bachelor of Commerce,B.Sc of Hotel Management,False
Bachelor of Biomedical Engineering,Master's of Computer Applications,False
Bachelor of Social Work,b.tech of science in information technology,False
Bachelor of Performing Arts,B.Sc of Science in Biotechnology,False
Master of Science in Data Analytics,B.Tech of Music,False
Bachelor of Chemical Engineering,b.tech of science in information technology,False
Bachelor of Laws and Arts,B.Sc of Engineering in Electrical Engineering,False
Bachelor of Architecture,Bachelor's of Biomedical Engineering,False
Bachelor of Psychology,b.sc of social work,False
Bachelor of Science in Biotechnology,doctorate of medicine,False
Doctor of Medicine,Bachelors of Pharmacy,False
Bachelor of Aerospace Engineering,B.Sc of Forestry,False
Bachelor of Library Science,Bachelor's of Software Engineering,False
Bachelor of Law (LLB),Bachelors of Architecture,False
Bachelor of Commerce,Bachelors of Science in Nursing,False
Bachelor of Forestry,Bachelor's of Laws and Arts,False
Master of Public Health,PhD of Medicine,False
Bachelor of Theology,b.sc of physical education,False
Bachelor of Commerce,Bachelors of Education,False
Bachelor of Business Administration,bachelor's of music,False
Bachelor of Laws and Arts,B.Sc of Engineering in Electrical Engineering,False
Master of Computer Applications,B.Sc of Applied Science,False
Bachelor of Architecture,b.sc of theology,False
Bachelor of Social Work,Bachelors of Journalism,False
Bachelor of Biomedical Engineering,Bachelors of Architecture,False
Bachelor of Performing Arts,Master's of Management Studies,False
Bachelor of Forestry,Bachelors of Information Systems,False
Bachelor of Veterinary Science,Bachelor's of Fine Arts,False
Bachelor of Laws and Arts,B.Sc of Applied Science,False
Bachelor of Arts in Political Science,B.Sc of Pharmacy,False
Master of Public Health,Bachelors of Data Science,False
Bachelor of Engineering in Electrical Engineering,B.Tech of Performing Arts,False
Bachelor of Engineering in Mechanical Engineering,B.Tech of Psychology,False
Bachelor of Applied Science,Bachelor's of Science in Biotechnology,False
Master of Technology in Artificial Intelligence,B.Tech of Performing Arts,False
Bachelor of Design,M.Tech of Social Work,False
Bachelor of Veterinary Science,B.Tech of Agricultural Science,False
Bachelor of Performing Arts,Master's of Business Administration,False
Bachelor of Cognitive Science,Bachelors of Social Work,False
Master of Financial Engineering,B.Tech of Arts in Political Science,False
Bachelor of Veterinary Science,PhD of Medicine,False
Bachelor of Laws and Arts,Bachelors of Social Work,False
Bachelor of Business Administration,b.tech of arts in political science,False
Bachelor of Forestry,B.Tech of Architecture,False
Bachelor of Fine Arts,Masters of Computer Applications,False
Doctor of Philosophy in Physics,master's of social work,False
Bachelor of Library Science,Master's of Public Health,False
Master of Management Studies,B.Tech of Statistics,False
Bachelor of Pharmacy,B.Sc of Agricultural Science,False
Bachelor of Biomedical Engineering,Masters of Public Health,False
Bachelor of Music,Masters of Computer Applications,False
Bachelor of Science in Information Technology,masters of technology in artificial intelligence,False
Bachelor of Social Work,Bachelor's of Data Science,False
Bachelor of Pharmacy,M.Tech of Financial Engineering,False
Master of Social Work,Masters of Computer Applications,False
Bachelor of Physical Education,Bachelors of Arts in History,False
Bachelor of Applied Science,Bachelors of Arts in History,False
Bachelor of Fine Arts,bachelor's of fisheries science,False
Bachelor of Engineering in Electrical Engineering,B.Sc of Science in Nursing,False
Master of Science in Data Analytics,Bachelors of Environmental Science,False
Doctor of Philosophy in Physics,Bachelors of Arts in History,False
Bachelor of Statistics,bachelor's of social work,False
Bachelor of Veterinary Science,B.Tech of Information Systems,False
Bachelor of Arts in History,bachelor's of statistics,False
Master of Computer Applications,Bachelors of Aerospace Engineering,False
Bachelor of Laws and Arts,b.sc of science in mathematics,False
Bachelor of Veterinary Science,B.Tech of Laws and Arts,False
Master of Social Work,B.Tech of Education,False
Bachelor of Anthropology,Bachelor's of Library Science,False
Bachelor of Arts in Political Science,Bachelors of Criminal Justice,False
Bachelor of Chemical Engineering,b.tech of anthropology,False
Bachelor of Journalism,Master's of Public Health,False
Master of Business Administration,B.Sc of Agricultural Science,False
Bachelor of Pharmacy,Master's of Public Health,False
Bachelor of Law (LLB),Doctorate of Medicine,False
Master of Science in Data Analytics,B.Sc of Design,False
Bachelor of Science in Information Technology,B.Sc of Music,False
Master of Business Administration,Bachelors of Architecture,False
Bachelor of Science in Nursing,bachelor's of fisheries science,False
Bachelor of Aerospace Engineering,Bachelor's of Performing Arts,False
Bachelor of Cognitive Science,B.Tech of Fine Arts,False
Bachelor of Data Science,Bachelor's of Hotel Management,False
Master of Social Work,Bachelor's of Performing Arts,False
Bachelor of Science in Information Technology,bachelors of design,False
Bachelor of Criminal Justice,masters of technology in artificial intelligence,False
Bachelor of Fine Arts,Bachelors of Environmental Science,False
Bachelor of Environmental Science,B.Tech of Applied Science,False
Bachelor of Design,B.Sc of Aerospace Engineering,False
Bachelor of Engineering in Mechanical Engineering,Bachelors of Design,False
Master of Engineering in Computer Networks,bachelors of business administration,False
Bachelor of Arts in Political Science,bachelor's of software engineering,False
Bachelor of Science in Nursing,B.Sc of Information Systems,False
Doctor of Philosophy in Physics,B.Sc of Environmental Science,False
Bachelor of Agricultural Science,M.Sc of Engineering in Computer Networks,False
Bachelor of Fine Arts,bachelors of environmental science,False
Bachelor of Journalism,Bachelor's of Data Science,False
Bachelor of Forestry,B.Tech of Music,False
Master of Technology in Artificial Intelligence,b.tech of agricultural science,False
Bachelor of Science in Information Technology,Bachelor's of Library Science,False
Bachelor of Information Systems,M.Sc of Science in Data Analytics,False
Bachelor of Applied Science,B.Sc of Biomedical Engineering,False
Master of Science in Data Analytics,b.tech of engineering in mechanical engineering,False
Bachelor of Veterinary Science,B.Tech of Forestry,False
Bachelor of Agricultural Science,B.Tech of Arts in History,False
Master of Financial Engineering,Bachelors of Business Administration,False
Bachelor of Engineering in Mechanical Engineering,Masters of Financial Engineering,False
Bachelor of Chemical Engineering,Bachelors of Data Science,False
Master of Computer Applications,B.Tech of Music,False
Bachelor of Veterinary Science,Bachelors of Social Work,False
Bachelor of Design,master's of financial engineering,False
Bachelor of Software Engineering,b.sc of law (llb),False
Bachelor of Performing Arts,Bachelor's of Arts in Political Science,False
Master of Science in Data Analytics,B.Tech of Science in Mathematics,False
Bachelor of Theology,bachelor's of oceanography,False
Bachelor of Business Administration,B.Sc of Data Science,False
Bachelor of Engineering in Electrical Engineering,b.sc of software engineering,False
Bachelor of Social Work,B.Tech of Pharmacy,False
Master of Social Work,Master's of Science in Data Analytics,False
Bachelor of Social Work,B.Tech of Engineering in Electrical Engineering,False
Master of Computer Applications,Master's of Business Administration,False
Bachelor of Applied Science,master's of technology in artificial intelligence,False
Bachelor of Laws and Arts,bachelors of engineering in mechanical engineering,False
Bachelor of Laws and Arts,Master's of Business Administration,False
Bachelor of Music,B.Tech of Software Engineering,False
Bachelor of Forestry,M.Tech of Social Work,False
Bachelor of Aerospace Engineering,M.Tech of Science in Data Analytics,False
Bachelor of Data Science,Doctorate of Philosophy in Physics,False
Bachelor of Science in Biotechnology,Master's of Public Health,False
Bachelor of Music,Bachelor's of Fine Arts,False
Master of Financial Engineering,bachelors of business administration,False
Master of Engineering in Computer Networks,b.sc of information systems,False
Bachelor of Commerce,Bachelor's of Psychology,False
Bachelor of Architecture,bachelors of design,False
Bachelor of Science in Nursing,Bachelors of Physical Education,False
Bachelor of Statistics,B.Tech of Social Work,False
Bachelor of Science in Mathematics,bachelors of science in nursing,False
Bachelor of Applied Science,bachelor's of hotel management,False
Master of Social Work,Bachelors of Fisheries Science,False
Bachelor of Environmental Science,M.Sc of Public Health,False
Bachelor of Fisheries Science,b.tech of laws and arts,False
Bachelor of Environmental Science,Bachelors of Software Engineering,False
Master of Technology in Artificial Intelligence,M.Sc of Science in Data Analytics,False
Master of Business Administration,B.Sc of Architecture,False
Bachelor of Oceanography,Master's of Science in Data Analytics,False
Bachelor of Anthropology,Bachelors of Applied Science,False
Bachelor of Cognitive Science,b.tech of science in information technology,False
Master of Business Administration,B.Sc of Cognitive Science,False
Bachelor of Science in Information Technology,Bachelor's of Applied Science,False
Bachelor of Criminal Justice,PhD of Philosophy in Physics,False
Bachelor of Commerce,Bachelors of Laws and Arts,False
Bachelor of Laws and Arts,M.Tech of Social Work,False
Master of Social Work,B.Tech of Chemical Engineering,False
Bachelor of Science in Nursing,Bachelor's of Agricultural Science,False
Bachelor of Science in Information Technology,PhD of Philosophy in Physics,False
Bachelor of Science in Information Technology,bachelors of agricultural science,False
Bachelor of Journalism,Bachelor's of Architecture,False
Bachelor of Design,B.Tech of Science in Information Technology,False
Bachelor of Psychology,Bachelor's of Technology in Computer Science,False
Master of Computer Applications,B.Sc of Business Administration,False
Bachelor of Science in Information Technology,Bachelor's of Forestry,False
Bachelor of Environmental Science,master's of computer applications,False
Master of Public Health,Bachelors of Aerospace Engineering,False
Bachelor of Applied Science,Bachelors of Science in Nursing,False
Bachelor of Arts in Political Science,Bachelors of Engineering in Electrical Engineering,False
Bachelor of Architecture,Doctorate of Philosophy in Physics,False
Bachelor of Statistics,B.Sc of Chemical Engineering,False
Master of Engineering in Computer Networks,m.sc of science in data analytics,False
Bachelor of Pharmacy,Master's of Business Administration,False
Bachelor of Software Engineering,master's of science in data analytics,False
Master of Computer Applications,Bachelors of Science in Nursing,False
Bachelor of Pharmacy,B.Sc of Data Science,False
Master of Social Work,Bachelors of Laws and Arts,False
Master of Business Administration,Bachelor's of Applied Science,False
Bachelor of Cognitive Science,Master's of Technology in Artificial Intelligence,False
Doctor of Philosophy in Physics,B.Sc of Theology,False
Bachelor of Performing Arts,M.Sc of Computer Applications,False
Bachelor of Performing Arts,B.Sc of Chemical Engineering,False
Bachelor of Engineering in Mechanical Engineering,B.Tech of Forestry,False
Bachelor of Technology in Computer Science,Bachelor's of Science in Information Technology,False
Doctor of Philosophy in Physics,b.tech of criminal justice,False
Bachelor of Music,b.sc of fine arts,False
Bachelor of Arts in Political Science,B.Tech of Technology in Computer Science,False
Bachelor of Cognitive Science,Bachelor's of Science in Mathematics,False
Bachelor of Physical Education,Bachelor's of Statistics,False
Bachelor of Chemical Engineering,Bachelor's of Fisheries Science,False
Bachelor of Music,b.tech of technology in computer science,False
Bachelor of Laws and Arts,B.Sc of Environmental Science,False
Master of Business Administration,B.Sc of Fine Arts,False
Master of Computer Applications,B.Sc of Technology in Computer Science,False
Bachelor of Science in Information Technology,B.Tech of Law (LLB),False
Bachelor of Aerospace Engineering,Bachelor's of Psychology,False
Master of Computer Applications,M.Tech of Public Health,False
Bachelor of Anthropology,B.Sc of Fine Arts,False
Bachelor of Pharmacy,Bachelors of Education,False
Bachelor of Journalism,Bachelors of Biomedical Engineering,False
Bachelor of Law (LLB),Bachelor's of Agricultural Science,False
Bachelor of Applied Science,B.Sc of Veterinary Science,False
Bachelor of Architecture,M.Tech of Financial Engineering,False
Bachelor of Statistics,doctorate of medicine,False
