resume_skills,jd_skills,label
"Empathy, Work Ethic, Coaching, Stress Management, Time Management, Creativity","Teamwork, Communication, Decision Making",0.16868732387926882
"Emotional Intelligence, Teamwork, Collaboration, Effective Communication","Team Collaboration, Leadership, Teamwork, Analytical Thinking, Emotional Intelligence, Confidence",0.12099584443247502
"Communication, Emotional Intelligence, Time Management, Decision Making, Leadership, Effective Communication","Adaptability, Analytical Thinking, Networking, Confidence",0.11842518121610546
"Collaboration, Problem Solving, Teamwork, Confidence, Active Listening, Team Collaboration","Confidence, Public Speaking, Effective Communication, Patience",0.5598012759150368
"Creativity, Communication, Effective Communication, Analytical Thinking","Conflict Resolution, Communication, Collaboration",0.12318793613883156
"Effective Communication, Adaptability, Stress Management","Critical Thinking, Conflict Resolution, Creativity, Stress Management",0.2631511193914421
"Mentorship, Work Ethic, Effective Communication, Stress Management, Confidence, Teamwork","Empathy, Emotional Intelligence, Leadership, Teamwork",0.15460970900547896
"Public Speaking, Creativity, Team Collaboration, Active Listening, Time Management, Communication","Communication, Public Speaking, Emotional Intelligence",0.5091652587099329
"Leadership, Interpersonal Skills, Negotiation","Empathy, Team Collaboration, Communication, Leadership, Teamwork, Conflict Resolution",0.2360478439439228
"Networking, Leadership, Mentorship, Adaptability, Coaching, Collaboration","Time Management, Empathy, Networking, Collaboration, Analytical Thinking, Negotiation",0.6078071378635205
"Interpersonal Skills, Negotiation, Work Ethic, Networking","Active Listening, Networking, Coaching, Interpersonal Skills",0.17780517289871312
"Public Speaking, Confidence, Emotional Intelligence, Mentorship, Effective Communication","Problem Solving, Leadership, Work Ethic, Interpersonal Skills, Effective Communication",0.45875593724227914
"Critical Thinking, Networking, Negotiation, Mentorship, Coaching","Analytical Thinking, Public Speaking, Stress Management, Work Ethic",0.2171111871575027
"Adaptability, Problem Solving, Active Listening","Conflict Resolution, Stress Management, Negotiation, Team Collaboration, Emotional Intelligence",0.1729655801007673
"Creativity, Conflict Resolution, Public Speaking","Interpersonal Skills, Stress Management, Decision Making",0.13057543472730013
"Collaboration, Confidence, Stress Management, Communication","Emotional Intelligence, Empathy, Patience, Networking",0.5883205951412243
"Active Listening, Patience, Emotional Intelligence","Decision Making, Team Collaboration, Problem Solving",0.416204864753226
"Adaptability, Critical Thinking, Public Speaking, Coaching","Confidence, Creativity, Active Listening, Work Ethic, Mentorship",0.22426398738883702
"Negotiation, Conflict Resolution, Creativity","Stress Management, Conflict Resolution, Public Speaking, Analytical Thinking",0.42436998040527635
"Analytical Thinking, Decision Making, Mentorship, Adaptability, Leadership","Time Management, Team Collaboration, Interpersonal Skills, Coaching, Leadership",0.29623011644280645
"Effective Communication, Problem Solving, Coaching, Decision Making","Adaptability, Effective Communication, Confidence, Time Management, Networking, Decision Making",0.28779937268028183
"Confidence, Work Ethic, Problem Solving","Effective Communication, Team Collaboration, Interpersonal Skills, Confidence, Collaboration, Problem Solving",0.2363817666475988
"Team Collaboration, Negotiation, Conflict Resolution, Interpersonal Skills, Leadership","Creativity, Teamwork, Empathy, Public Speaking, Analytical Thinking, Decision Making",0.24443659311801685
"Decision Making, Collaboration, Conflict Resolution","Collaboration, Coaching, Negotiation, Teamwork, Communication, Critical Thinking",0.2165370209239591
"Teamwork, Networking, Analytical Thinking, Collaboration","Active Listening, Analytical Thinking, Collaboration",0.49009119557228625
"Analytical Thinking, Team Collaboration, Creativity","Mentorship, Adaptability, Decision Making, Teamwork, Negotiation, Confidence",0.4089970527391415
"Problem Solving, Public Speaking, Mentorship, Time Management","Empathy, Active Listening, Collaboration, Conflict Resolution",0.5272131243856325
"Time Management, Patience, Creativity","Critical Thinking, Communication, Confidence, Conflict Resolution, Public Speaking, Negotiation",0.2835932820911209
"Work Ethic, Time Management, Conflict Resolution","Problem Solving, Time Management, Interpersonal Skills, Analytical Thinking, Conflict Resolution",0.4255804824095164
"Coaching, Active Listening, Critical Thinking, Team Collaboration, Stress Management","Conflict Resolution, Collaboration, Communication, Critical Thinking, Decision Making, Patience",0.5270058199732709
"Problem Solving, Communication, Mentorship, Negotiation, Public Speaking","Critical Thinking, Creativity, Coaching, Active Listening, Leadership, Interpersonal Skills",0.23730717418130265
"Public Speaking, Decision Making, Networking, Interpersonal Skills, Active Listening","Conflict Resolution, Work Ethic, Public Speaking, Teamwork",0.5976009609017447
"Leadership, Analytical Thinking, Stress Management, Patience","Problem Solving, Confidence, Public Speaking, Team Collaboration, Networking, Empathy",0.4745650256333314
"Team Collaboration, Communication, Negotiation","Critical Thinking, Interpersonal Skills, Stress Management",0.29349829100175867
"Networking, Stress Management, Confidence","Creativity, Active Listening, Interpersonal Skills, Emotional Intelligence, Team Collaboration",0.42079399213603097
"Conflict Resolution, Emotional Intelligence, Collaboration","Stress Management, Decision Making, Team Collaboration, Patience, Public Speaking, Active Listening",0.1292347839567057
"Problem Solving, Communication, Empathy, Creativity, Team Collaboration","Confidence, Negotiation, Analytical Thinking",0.4189971038770867
"Coaching, Time Management, Networking","Leadership, Networking, Analytical Thinking, Empathy, Adaptability",0.20923437688165492
"Empathy, Mentorship, Coaching, Stress Management, Decision Making, Analytical Thinking","Active Listening, Networking, Work Ethic",0.46745666889610327
"Negotiation, Mentorship, Conflict Resolution, Stress Management, Communication, Empathy","Analytical Thinking, Creativity, Teamwork, Critical Thinking, Time Management",0.10555887349806631
"Mentorship, Problem Solving, Creativity","Coaching, Team Collaboration, Work Ethic, Interpersonal Skills",0.42451025479313587
"Confidence, Effective Communication, Work Ethic, Leadership, Adaptability, Networking","Collaboration, Decision Making, Active Listening, Interpersonal Skills, Conflict Resolution, Creativity",0.5534544539979895
"Problem Solving, Interpersonal Skills, Team Collaboration, Coaching, Communication","Time Management, Coaching, Stress Management, Active Listening, Problem Solving",0.443637434962618
"Creativity, Empathy, Patience","Analytical Thinking, Adaptability, Problem Solving, Negotiation",0.4621689797527721
"Networking, Public Speaking, Active Listening, Work Ethic","Conflict Resolution, Negotiation, Teamwork, Mentorship",0.10012183943399933
"Creativity, Conflict Resolution, Patience, Analytical Thinking, Mentorship, Empathy","Problem Solving, Work Ethic, Active Listening, Stress Management, Empathy",0.39043609084539027
"Negotiation, Confidence, Emotional Intelligence, Mentorship, Empathy","Conflict Resolution, Leadership, Time Management, Effective Communication, Decision Making, Analytical Thinking",0.45910459275810916
"Leadership, Conflict Resolution, Team Collaboration, Confidence, Creativity","Conflict Resolution, Time Management, Coaching, Negotiation, Team Collaboration",0.2915803344845947
"Creativity, Negotiation, Patience, Networking, Leadership","Problem Solving, Collaboration, Creativity, Confidence",0.25096548601681756
"Analytical Thinking, Teamwork, Negotiation, Adaptability","Coaching, Confidence, Stress Management, Collaboration, Emotional Intelligence",0.5499591691299588
"Communication, Decision Making, Stress Management","Confidence, Time Management, Stress Management, Work Ethic, Public Speaking",0.24960407786706293
"Team Collaboration, Adaptability, Work Ethic, Teamwork, Mentorship","Teamwork, Networking, Problem Solving, Interpersonal Skills, Stress Management, Patience",0.3896679038336425
"Coaching, Stress Management, Teamwork, Leadership","Active Listening, Collaboration, Team Collaboration, Leadership, Empathy, Work Ethic",0.15086134089198194
"Stress Management, Active Listening, Problem Solving","Emotional Intelligence, Creativity, Work Ethic",0.4895525108224579
"Decision Making, Problem Solving, Interpersonal Skills","Problem Solving, Team Collaboration, Time Management, Active Listening, Critical Thinking",0.22978159851394597
"Critical Thinking, Problem Solving, Networking","Negotiation, Conflict Resolution, Critical Thinking, Confidence, Collaboration",0.4896956112275841
"Empathy, Critical Thinking, Decision Making","Conflict Resolution, Critical Thinking, Creativity, Negotiation, Empathy",0.13162232536584775
"Emotional Intelligence, Confidence, Team Collaboration, Analytical Thinking, Mentorship, Decision Making","Teamwork, Problem Solving, Coaching, Analytical Thinking",0.4044934000697317
"Collaboration, Conflict Resolution, Coaching","Empathy, Communication, Negotiation, Networking",0.5037622844642925
"Leadership, Work Ethic, Analytical Thinking, Patience, Confidence","Communication, Emotional Intelligence, Creativity, Teamwork, Empathy",0.43249657589178647
"Negotiation, Stress Management, Adaptability, Decision Making, Coaching","Negotiation, Collaboration, Interpersonal Skills, Communication",0.11287346808480772
"Teamwork, Emotional Intelligence, Problem Solving, Confidence","Confidence, Networking, Leadership, Time Management, Active Listening, Communication",0.4326539026291448
"Coaching, Communication, Work Ethic, Leadership, Emotional Intelligence","Team Collaboration, Empathy, Effective Communication",0.12328747307130647
"Effective Communication, Adaptability, Critical Thinking, Active Listening","Leadership, Emotional Intelligence, Teamwork, Creativity, Stress Management",0.45143217106883277
"Coaching, Adaptability, Empathy, Teamwork, Critical Thinking, Problem Solving","Teamwork, Stress Management, Analytical Thinking, Public Speaking, Team Collaboration",0.29335828716443346
"Negotiation, Critical Thinking, Teamwork, Leadership","Analytical Thinking, Problem Solving, Teamwork, Critical Thinking",0.506627131100817
"Decision Making, Patience, Empathy","Work Ethic, Mentorship, Decision Making, Patience, Leadership, Teamwork",0.20777046323125792
"Active Listening, Mentorship, Work Ethic, Leadership, Empathy","Emotional Intelligence, Leadership, Networking, Negotiation",0.16807799097078924
"Teamwork, Work Ethic, Collaboration, Stress Management, Time Management, Public Speaking","Negotiation, Networking, Decision Making, Leadership, Analytical Thinking, Stress Management",0.1680847735106662
"Active Listening, Leadership, Public Speaking","Teamwork, Team Collaboration, Conflict Resolution",0.2775644063373538
"Analytical Thinking, Leadership, Emotional Intelligence","Stress Management, Team Collaboration, Effective Communication, Emotional Intelligence",0.43789680051800794
"Empathy, Critical Thinking, Effective Communication, Communication, Stress Management","Critical Thinking, Coaching, Active Listening, Work Ethic, Empathy, Adaptability",0.5493716257256291
"Leadership, Communication, Creativity, Effective Communication, Negotiation","Teamwork, Active Listening, Collaboration, Conflict Resolution",0.20000427807878504
"Public Speaking, Decision Making, Adaptability","Negotiation, Teamwork, Public Speaking",0.25055327069887634
"Networking, Work Ethic, Coaching, Public Speaking","Problem Solving, Active Listening, Leadership, Teamwork, Critical Thinking, Analytical Thinking",0.4499657889277068
"Leadership, Creativity, Effective Communication, Empathy","Time Management, Networking, Public Speaking, Teamwork, Team Collaboration",0.5087017450472273
"Empathy, Critical Thinking, Patience, Team Collaboration, Active Listening, Communication","Work Ethic, Interpersonal Skills, Leadership, Active Listening, Emotional Intelligence, Conflict Resolution",0.48925424798434847
"Conflict Resolution, Analytical Thinking, Time Management, Decision Making, Leadership, Collaboration","Adaptability, Decision Making, Problem Solving, Public Speaking, Critical Thinking",0.2203768665311986
"Creativity, Interpersonal Skills, Public Speaking, Critical Thinking","Stress Management, Mentorship, Teamwork, Networking, Adaptability",0.4689243271923461
"Stress Management, Effective Communication, Confidence","Empathy, Interpersonal Skills, Effective Communication, Coaching, Work Ethic",0.15920051475047448
"Leadership, Stress Management, Negotiation, Team Collaboration, Confidence, Active Listening","Creativity, Patience, Collaboration",0.4093594938375313
"Public Speaking, Leadership, Networking, Negotiation, Creativity, Communication","Mentorship, Analytical Thinking, Empathy, Work Ethic, Emotional Intelligence",0.5782690845353481
"Analytical Thinking, Conflict Resolution, Patience, Effective Communication, Networking","Problem Solving, Team Collaboration, Empathy, Collaboration, Conflict Resolution, Time Management",0.12890465397394044
"Conflict Resolution, Coaching, Effective Communication","Teamwork, Analytical Thinking, Decision Making, Leadership, Empathy, Conflict Resolution",0.5380416551244818
"Critical Thinking, Confidence, Team Collaboration, Collaboration","Time Management, Interpersonal Skills, Teamwork, Work Ethic",0.1877813661185259
"Creativity, Time Management, Active Listening, Interpersonal Skills, Critical Thinking","Decision Making, Confidence, Networking, Interpersonal Skills",0.28799360182782835
"Interpersonal Skills, Stress Management, Empathy, Public Speaking, Problem Solving","Communication, Conflict Resolution, Time Management, Problem Solving, Empathy",0.43960228251445976
"Adaptability, Critical Thinking, Mentorship, Coaching, Active Listening","Analytical Thinking, Active Listening, Stress Management, Adaptability, Leadership, Coaching",0.16328556954340595
"Team Collaboration, Emotional Intelligence, Problem Solving","Networking, Problem Solving, Analytical Thinking",0.5340781667615514
"Confidence, Patience, Critical Thinking, Public Speaking","Networking, Adaptability, Effective Communication, Stress Management",0.5427789871338426
"Teamwork, Problem Solving, Negotiation, Collaboration, Team Collaboration, Mentorship","Interpersonal Skills, Effective Communication, Collaboration, Mentorship, Public Speaking, Decision Making",0.30445427347051607
"Team Collaboration, Mentorship, Problem Solving, Coaching, Patience","Patience, Work Ethic, Negotiation, Collaboration",0.2955370533064973
"Empathy, Emotional Intelligence, Work Ethic","Empathy, Analytical Thinking, Collaboration, Decision Making",0.20563835652261456
"Networking, Critical Thinking, Emotional Intelligence","Empathy, Time Management, Problem Solving, Networking",0.186108972122791
"Mentorship, Stress Management, Public Speaking, Time Management, Decision Making","Time Management, Patience, Interpersonal Skills, Confidence, Effective Communication, Adaptability",0.5259475296322355
"Negotiation, Mentorship, Interpersonal Skills","Adaptability, Decision Making, Critical Thinking, Communication, Active Listening, Empathy",0.494545496854857
"Negotiation, Leadership, Problem Solving","Leadership, Analytical Thinking, Empathy, Adaptability, Work Ethic",0.274594844269586
"Creativity, Coaching, Critical Thinking","Collaboration, Public Speaking, Confidence, Critical Thinking",0.43521123679622087
"Collaboration, Adaptability, Conflict Resolution, Coaching, Stress Management, Active Listening","Problem Solving, Networking, Empathy, Mentorship, Time Management",0.23441084552173697
"Mentorship, Teamwork, Emotional Intelligence","Decision Making, Adaptability, Patience",0.1134732203492756
"Mentorship, Emotional Intelligence, Critical Thinking, Decision Making","Emotional Intelligence, Confidence, Empathy, Creativity",0.11386944146072409
"Active Listening, Coaching, Effective Communication","Negotiation, Stress Management, Collaboration, Time Management, Active Listening, Patience",0.40371694858528345
"Team Collaboration, Networking, Problem Solving, Analytical Thinking, Patience","Decision Making, Networking, Communication, Analytical Thinking",0.21543206327646558
"Mentorship, Communication, Team Collaboration, Stress Management","Public Speaking, Networking, Coaching, Problem Solving, Work Ethic",0.19476569020958465
"Decision Making, Stress Management, Active Listening, Confidence","Time Management, Conflict Resolution, Networking, Team Collaboration, Leadership, Interpersonal Skills",0.2932210685748258
"Leadership, Interpersonal Skills, Active Listening, Networking, Coaching","Stress Management, Decision Making, Public Speaking, Problem Solving",0.26236388931176313
"Conflict Resolution, Time Management, Work Ethic","Coaching, Mentorship, Critical Thinking, Decision Making, Effective Communication",0.5608954027867684
"Teamwork, Time Management, Public Speaking","Problem Solving, Patience, Work Ethic, Networking, Teamwork, Interpersonal Skills",0.13936797822798028
"Active Listening, Leadership, Problem Solving, Negotiation, Collaboration","Emotional Intelligence, Leadership, Coaching, Critical Thinking, Decision Making, Confidence",0.40006159225192206
"Teamwork, Networking, Effective Communication, Adaptability","Confidence, Communication, Team Collaboration",0.160450136152052
"Stress Management, Mentorship, Problem Solving, Patience, Collaboration, Teamwork","Time Management, Work Ethic, Creativity, Patience, Collaboration, Negotiation",0.5517792424198642
"Networking, Analytical Thinking, Patience","Coaching, Adaptability, Analytical Thinking, Time Management, Mentorship",0.5315843395303439
"Problem Solving, Team Collaboration, Empathy, Collaboration","Effective Communication, Problem Solving, Teamwork, Communication",0.24320903012010625
"Confidence, Critical Thinking, Conflict Resolution, Interpersonal Skills, Communication, Emotional Intelligence","Collaboration, Communication, Decision Making, Leadership",0.5741020128043214
"Coaching, Networking, Teamwork, Stress Management","Empathy, Creativity, Teamwork, Leadership, Emotional Intelligence, Team Collaboration",0.5846842449196786
"Critical Thinking, Team Collaboration, Interpersonal Skills, Analytical Thinking, Empathy","Active Listening, Adaptability, Work Ethic, Communication",0.4739518508068978
"Decision Making, Creativity, Communication, Negotiation, Empathy, Networking","Effective Communication, Public Speaking, Creativity, Coaching, Leadership, Mentorship",0.4548190142114611
"Adaptability, Emotional Intelligence, Teamwork, Communication, Stress Management","Team Collaboration, Empathy, Collaboration, Emotional Intelligence",0.24613973140335166
"Problem Solving, Effective Communication, Emotional Intelligence, Active Listening, Work Ethic, Collaboration","Confidence, Work Ethic, Public Speaking, Negotiation, Problem Solving, Active Listening",0.28810223737179863
"Empathy, Critical Thinking, Communication, Emotional Intelligence","Critical Thinking, Creativity, Teamwork",0.28867649320495986
"Teamwork, Critical Thinking, Networking, Stress Management, Public Speaking, Confidence","Adaptability, Team Collaboration, Interpersonal Skills",0.5686428752647391
"Leadership, Effective Communication, Confidence, Collaboration","Creativity, Team Collaboration, Public Speaking",0.21919276627632328
"Creativity, Problem Solving, Teamwork, Leadership, Analytical Thinking, Conflict Resolution","Interpersonal Skills, Decision Making, Coaching, Problem Solving, Creativity, Adaptability",0.2505756394949366
"Networking, Team Collaboration, Emotional Intelligence, Interpersonal Skills","Confidence, Networking, Collaboration, Problem Solving",0.5014147399793929
"Empathy, Mentorship, Patience","Emotional Intelligence, Empathy, Leadership, Problem Solving, Team Collaboration",0.49069501158065404
"Teamwork, Stress Management, Adaptability, Time Management, Effective Communication","Analytical Thinking, Problem Solving, Collaboration, Teamwork, Public Speaking",0.5398830712743978
"Mentorship, Stress Management, Adaptability, Patience","Collaboration, Stress Management, Empathy, Work Ethic, Effective Communication",0.47998552733181576
"Networking, Team Collaboration, Analytical Thinking, Negotiation, Patience","Mentorship, Collaboration, Time Management, Coaching, Empathy, Networking",0.2204683014285863
"Leadership, Work Ethic, Coaching, Critical Thinking, Emotional Intelligence","Effective Communication, Interpersonal Skills, Adaptability, Communication, Time Management, Stress Management",0.5092232453408887
"Decision Making, Analytical Thinking, Mentorship, Confidence, Adaptability","Mentorship, Collaboration, Active Listening, Confidence, Negotiation, Work Ethic",0.5000583147286135
"Confidence, Problem Solving, Creativity, Networking, Interpersonal Skills, Patience","Patience, Time Management, Problem Solving, Decision Making, Analytical Thinking",0.19141719393170917
"Team Collaboration, Teamwork, Emotional Intelligence","Conflict Resolution, Teamwork, Interpersonal Skills, Stress Management, Adaptability, Negotiation",0.13106594615913567
"Teamwork, Effective Communication, Networking, Creativity, Problem Solving","Collaboration, Communication, Interpersonal Skills, Decision Making, Stress Management, Patience",0.4313364863564269
"Active Listening, Work Ethic, Emotional Intelligence, Team Collaboration, Interpersonal Skills, Critical Thinking","Effective Communication, Stress Management, Patience",0.4409087035467034
"Adaptability, Teamwork, Time Management, Negotiation","Critical Thinking, Decision Making, Networking, Public Speaking, Problem Solving, Interpersonal Skills",0.20955081742830514
"Empathy, Stress Management, Active Listening, Analytical Thinking, Public Speaking, Patience","Coaching, Public Speaking, Problem Solving",0.29013979772469956
"Conflict Resolution, Analytical Thinking, Stress Management, Problem Solving","Mentorship, Decision Making, Empathy, Collaboration",0.4793450748885516
"Time Management, Coaching, Creativity, Team Collaboration, Networking, Mentorship","Effective Communication, Interpersonal Skills, Patience, Collaboration",0.41961252949014743
"Problem Solving, Decision Making, Communication","Decision Making, Adaptability, Emotional Intelligence, Active Listening, Problem Solving, Critical Thinking",0.22046720874096354
"Analytical Thinking, Active Listening, Creativity, Mentorship, Patience","Active Listening, Communication, Problem Solving, Patience, Stress Management",0.26176151035111805
"Collaboration, Leadership, Public Speaking, Conflict Resolution, Problem Solving, Team Collaboration","Networking, Time Management, Active Listening, Empathy, Public Speaking",0.17149668808616614
"Work Ethic, Adaptability, Coaching, Networking, Active Listening, Creativity","Confidence, Negotiation, Teamwork, Networking, Coaching, Interpersonal Skills",0.1923111061288312
"Collaboration, Leadership, Stress Management, Work Ethic","Interpersonal Skills, Communication, Coaching, Negotiation",0.572259803183381
"Time Management, Critical Thinking, Conflict Resolution, Emotional Intelligence","Analytical Thinking, Teamwork, Time Management, Critical Thinking, Stress Management, Adaptability",0.19226153365553386
"Time Management, Interpersonal Skills, Negotiation, Networking, Creativity, Critical Thinking","Empathy, Coaching, Adaptability, Work Ethic, Negotiation, Interpersonal Skills",0.12283390408831785
"Analytical Thinking, Decision Making, Negotiation","Problem Solving, Empathy, Analytical Thinking, Teamwork",0.18240272191707335
"Adaptability, Analytical Thinking, Team Collaboration, Patience","Collaboration, Teamwork, Negotiation",0.5030638817390645
"Critical Thinking, Confidence, Networking, Leadership, Analytical Thinking, Coaching","Coaching, Team Collaboration, Conflict Resolution",0.4533614256093278
"Teamwork, Confidence, Communication, Collaboration","Interpersonal Skills, Communication, Effective Communication",0.19465052921471424
"Negotiation, Collaboration, Teamwork, Critical Thinking, Mentorship","Empathy, Confidence, Public Speaking",0.5039152814098582
"Decision Making, Creativity, Coaching, Critical Thinking","Negotiation, Communication, Conflict Resolution",0.2732604738659501
"Communication, Empathy, Collaboration, Adaptability","Work Ethic, Coaching, Mentorship, Effective Communication, Confidence",0.2525979058274335
"Time Management, Active Listening, Effective Communication","Collaboration, Confidence, Emotional Intelligence, Decision Making, Analytical Thinking, Time Management",0.4113541899638696
"Time Management, Adaptability, Critical Thinking","Active Listening, Effective Communication, Mentorship, Public Speaking",0.14041592727002014
"Coaching, Collaboration, Emotional Intelligence","Public Speaking, Coaching, Conflict Resolution, Creativity, Time Management",0.16059800252986045
"Empathy, Leadership, Communication, Adaptability, Work Ethic","Patience, Effective Communication, Interpersonal Skills",0.13098543927723003
"Negotiation, Patience, Public Speaking","Conflict Resolution, Time Management, Confidence, Mentorship",0.19041517141643258
"Public Speaking, Empathy, Patience, Teamwork, Adaptability, Analytical Thinking","Collaboration, Patience, Decision Making, Empathy, Time Management",0.5716325251751171
"Work Ethic, Public Speaking, Effective Communication, Problem Solving, Coaching","Stress Management, Collaboration, Networking, Creativity",0.47097355724100476
"Negotiation, Confidence, Effective Communication","Effective Communication, Collaboration, Patience, Critical Thinking, Interpersonal Skills",0.421362380905469
"Problem Solving, Creativity, Public Speaking, Time Management, Conflict Resolution, Collaboration","Adaptability, Active Listening, Empathy",0.2507753539191127
